Date,Open,High,Low,Last,Volume
2013-03-18,154.34,155.64,154.20,154.97,126541100
2013-03-19,155.30,155.51,153.59,154.61,167138900
2013-03-20,155.52,155.95,155.26,155.69,113606700
2013-03-21,154.76,155.64,154.10,154.36,128391900
2013-03-22,154.85,155.60,154.73,155.60,111033600
2013-03-25,156.01,156.27,154.35,154.95,151100300
2013-03-26,155.59,156.23,155.42,156.19,86199850
2013-03-27,155.26,156.25,155.00,156.19,99850270
2013-03-28,156.09,156.85,155.75,156.67,102741800
2013-04-01,156.59,156.91,155.67,156.05,99128670
2013-04-02,156.61,157.21,156.37,156.82,101325400
2013-04-03,156.91,157.03,154.82,155.23,153842000
2013-04-04,155.43,156.17,155.09,155.86,131778000
2013-04-05,153.95,155.35,153.77,155.16,159552500
2013-04-08,155.27,156.22,154.75,156.21,86391690
2013-04-09,156.50,157.32,155.98,156.75,100747200
2013-04-10,157.17,158.87,157.13,158.67,135060300
2013-04-11,158.70,159.71,158.54,159.19,110007900
2013-04-12,158.68,159.04,157.92,158.80,116108400
2013-04-15,158.00,158.13,155.10,155.12,215943500
2013-04-16,156.29,157.49,155.91,157.41,147189400
2013-04-17,156.29,156.32,154.28,155.11,226469200
2013-04-18,155.37,155.41,153.55,154.14,167319200
2013-04-19,154.50,155.55,154.12,155.48,149492400
2013-04-22,155.78,156.54,154.75,156.17,106455900
2013-04-23,156.95,157.93,156.17,157.78,165716500
2013-04-24,157.83,158.30,157.54,157.88,95014120
2013-04-25,158.34,159.27,158.10,158.52,130813800
2013-04-26,158.33,158.60,157.73,158.24,95840090
2013-04-29,158.67,159.65,158.42,159.30,88453810
2013-04-30,159.27,159.72,158.61,159.68,115807700
2013-05-01,159.33,159.41,158.10,158.28,138694300
2013-05-02,158.68,159.89,158.53,159.75,96313320
2013-05-03,161.14,161.88,159.78,161.37,143975800
2013-05-06,161.49,162.01,161.42,161.78,66700110
2013-05-07,162.13,162.65,161.67,162.60,89907260
2013-05-08,162.42,163.39,162.33,163.34,96924850
2013-05-09,163.27,163.70,162.47,162.88,106533000
2013-05-10,162.99,163.55,162.51,163.41,103035000
2013-05-13,163.20,163.81,162.82,163.54,81678130
2013-05-14,163.67,165.35,163.67,165.23,118616400
2013-05-15,164.96,166.45,164.91,166.12,120578600
